tree1,tree2,d11_mean,d11_lower,d11_upper,d22_mean,d22_lower,d22_upper,d12_mean,d12_lower,d12_upper,p_d12_g_d11,p_d12_g_d22
output/tree006/trimmed/tree006_trimmed.run2_online.nwk,output/tree006/full/tree006.run1.nwk,1.0,0.0,3.0,3.0,0.0,5.0,2.0,0.0,4.0,0.726227,0.35848
output/tree006/trimmed/tree006_trimmed.run2_online.nwk,output/tree006/full/tree006.run2.nwk,1.0,0.0,3.0,3.0,0.0,5.0,2.0,0.0,4.0,0.732082,0.355492
output/tree006/full/tree006.run1.nwk,output/tree006/full/tree006.run2.nwk,3.0,0.0,5.0,3.0,0.0,5.0,3.0,0.0,5.0,0.501744,0.497628
output/tree007/trimmed/tree007_trimmed.run1_online.nwk,output/tree007/trimmed/tree007_trimmed.run2_online.nwk,1.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,3.0,0.484556,0.52374
output/tree007/trimmed/tree007_trimmed.run1_online.nwk,output/tree007/full/tree007.run1.nwk,1.0,0.0,3.0,2.0,0.0,5.0,2.0,0.0,5.0,0.638608,0.408538
output/tree007/trimmed/tree007_trimmed.run1_online.nwk,output/tree007/full/tree007.run2.nwk,1.0,0.0,3.0,2.0,0.0,5.0,2.0,0.0,5.0,0.634668,0.416018
output/tree007/trimmed/tree007_trimmed.run2_online.nwk,output/tree007/full/tree007.run1.nwk,1.0,0.0,3.0,2.0,0.0,5.0,2.0,0.0,5.0,0.667761,0.397086
output/tree007/trimmed/tree007_trimmed.run2_online.nwk,output/tree007/full/tree007.run2.nwk,1.0,0.0,3.0,2.0,0.0,5.0,2.0,0.0,5.0,0.662638,0.404354
output/tree007/full/tree007.run1.nwk,output/tree007/full/tree007.run2.nwk,2.0,0.0,5.0,2.0,0.0,5.0,2.0,0.0,5.0,0.497038,0.503359
output/tree008/trimmed/tree008_trimmed.run1_online.nwk,output/tree008/trimmed/tree008_trimmed.run2_online.nwk,2.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,4.0,0.502672,0.506233
output/tree008/trimmed/tree008_trimmed.run1_online.nwk,output/tree008/full/tree008.run1.nwk,2.0,0.0,4.0,3.0,1.0,6.0,3.0,1.0,5.0,0.611519,0.435949
output/tree008/trimmed/tree008_trimmed.run1_online.nwk,output/tree008/full/tree008.run2.nwk,2.0,0.0,4.0,3.0,1.0,6.0,3.0,1.0,5.0,0.625755,0.424885
output/tree008/trimmed/tree008_trimmed.run2_online.nwk,output/tree008/full/tree008.run1.nwk,2.0,0.0,4.0,3.0,1.0,6.0,3.0,1.0,5.0,0.627974,0.454213
output/tree008/trimmed/tree008_trimmed.run2_online.nwk,output/tree008/full/tree008.run2.nwk,2.0,0.0,4.0,3.0,1.0,6.0,3.0,1.0,5.0,0.64086,0.442425
output/tree008/full/tree008.run1.nwk,output/tree008/full/tree008.run2.nwk,3.0,1.0,6.0,3.0,1.0,6.0,3.0,1.0,6.0,0.512358,0.487848
output/tree009/trimmed/tree009_trimmed.run1_online.nwk,output/tree009/trimmed/tree009_trimmed.run2_online.nwk,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.495868,0.510958
output/tree009/trimmed/tree009_trimmed.run1_online.nwk,output/tree009/full/tree009.run1.nwk,0.0,0.0,2.0,3.0,1.0,5.0,2.0,0.0,4.0,0.882919,0.320681
output/tree009/trimmed/tree009_trimmed.run1_online.nwk,output/tree009/full/tree009.run2.nwk,0.0,0.0,2.0,3.0,1.0,6.0,2.0,0.0,5.0,0.890038,0.324219
output/tree009/trimmed/tree009_trimmed.run2_online.nwk,output/tree009/full/tree009.run1.nwk,0.0,0.0,1.0,3.0,1.0,5.0,2.0,0.0,4.0,0.904638,0.309385
output/tree009/trimmed/tree009_trimmed.run2_online.nwk,output/tree009/full/tree009.run2.nwk,0.0,0.0,1.0,3.0,1.0,6.0,2.0,0.0,5.0,0.911874,0.312063
output/tree009/full/tree009.run1.nwk,output/tree009/full/tree009.run2.nwk,3.0,1.0,5.0,3.0,1.0,6.0,3.0,1.0,5.0,0.497989,0.501257
output/tree010/trimmed/tree010_trimmed.run1_online.nwk,output/tree010/trimmed/tree010_trimmed.run2_online.nwk,3.0,0.0,5.0,3.0,0.0,5.0,3.0,0.0,5.0,0.495345,0.519739
output/tree010/trimmed/tree010_trimmed.run1_online.nwk,output/tree010/full/tree010.run1.nwk,3.0,0.0,5.0,4.0,1.0,6.0,3.0,1.0,6.0,0.621125,0.41672
output/tree010/trimmed/tree010_trimmed.run1_online.nwk,output/tree010/full/tree010.run2.nwk,3.0,0.0,5.0,4.0,1.0,6.0,3.0,1.0,6.0,0.614163,0.424161
output/tree010/trimmed/tree010_trimmed.run2_online.nwk,output/tree010/full/tree010.run1.nwk,3.0,0.0,5.0,4.0,1.0,6.0,3.0,1.0,6.0,0.644412,0.408367
output/tree010/trimmed/tree010_trimmed.run2_online.nwk,output/tree010/full/tree010.run2.nwk,3.0,0.0,5.0,4.0,1.0,6.0,3.0,1.0,6.0,0.637374,0.416236
output/tree010/full/tree010.run1.nwk,output/tree010/full/tree010.run2.nwk,4.0,1.0,6.0,4.0,1.0,6.0,4.0,1.0,6.0,0.493637,0.506122
